Url,Status,Old Site,Old Site Unique, New Site, New Site Unique, Match
http://178.128.58.116/index.php/Special:RecentChangesLinked/Sir_David_Nicolson,404,0,0
?title=Transport_and_General_Workers_Union&amp;printable=yes,200,6,5,0,0,false
?title=Titus_Wouda_Kuipers&amp;oldid=23747,200,6,6,0,0,false
https://tobaccotactics.org/wiki/Special:WhatLinksHere/File:E-lites-June2014.JPG,404,0,0
?title=File:E-lites_June2014.JPG&amp;oldid=18561,200,0,0,0,0,true
https://tobaccotactics.org/wiki/Category:Heated-Tobacco-Products,404,0,0
/Mathis_Cabiallavetta,200,1,1,1,1,true
http://178.128.58.116/index.php/Special:RecentChangesLinked/File:E-lites_June2014.JPG,404,0,0
?title=Gallaher&amp;action=edit,200,2,2,0,0,false
https://tobaccotactics.org/wiki/Category:Harm-Reduction,404,0,0
/Gallaher_versus_its_Cypriot_distributor,200,15,8,15,8,true
/Special:WhatLinksHere/Gallaher,200,0,0,2,2,false
?title=Transport_and_General_Workers_Union&amp;oldid=23935,200,6,5,0,0,false
?title=Sir_David_Nicolson&amp;action=edit,200,2,2,0,0,false
?title=Transport_and_General_Workers_Union&amp;action=history,200,6,5,0,0,false
https://tobaccotactics.org/wiki/ITC-Ltd,404,0,0
/Instinctif_Partners,200,14,13,13,13,false
https://tobaccotactics.org/wiki/Category:Online-Strategy,404,0,0
/Advertising_Strategy,200,22,20,22,20,true
?title=Transport_and_General_Workers_Union&amp;action=edit,200,6,5,0,0,false
?title=Gallaher&amp;action=history,200,2,2,0,0,false
/Special:WhatLinksHere/Kangaroo_Group,200,0,0,9,9,false
http://178.128.58.116/index.php/Special:RecentChangesLinked/Tobacco_Workers%E2%80%99_Alliance,404,0,0
?title=Fontem_Ventures&amp;oldid=24021,200,14,13,0,0,false
/Pro-Tobacco_Bloggers,200,0,0,0,0,true
https://tobaccotactics.org/wiki/Category:Influencing-Science,404,0,0
http://178.128.58.116/index.php?title=File_talk:E-lites_June2014.JPG&amp;action=edit&amp;redlink=1,404,0,0
/Legal_Strategy,200,5,4,0,0,false
?title=Transport_and_General_Workers_Union&amp;action=info,200,6,5,0,0,false
?title=File:E-lites_June2014.JPG&amp;action=edit,200,0,0,0,0,true
?title=File:E-lites_June2014.JPG&amp;printable=yes,200,0,0,0,0,true
/Walter_Prinz,200,2,1,1,1,false
https://tobaccotactics.org/wiki/Special:Contributions/Editor5,404,0,0
/Lars-Erik_Rutqvist,200,7,7,7,7,true
?title=Fontem_Ventures&amp;action=edit,200,14,13,0,0,false
/CN_Creative,200,13,13,13,13,true
?title=Fontem_Ventures&amp;printable=yes,200,14,13,0,0,false
/IEA:_History_of_Close_Ties_with_the_Tobacco_Industry,200,30,30,29,29,false
/EU_Better_Regulation,200,24,13,13,13,false
/Almos_Molnar,200,5,5,5,5,true
/Eamonn_Butler,200,5,5,5,5,true
http://178.128.58.116/index.php?title=Talk:Fontem_Ventures&amp;action=edit&amp;redlink=1,404,0,0
https://tobaccotactics.org/wiki/Category:Hiring-Independent-Experts,404,0,0
https://tobaccotactics.org/wiki/Tobacco-Products-Directive,404,0,0
?title=Gallaher&amp;action=info,200,2,2,0,0,false
/Andrew_Cave,200,1,1,1,1,true
/Susan_Murray,200,2,2,2,2,true
/Global_Tobacco_and_Nicotine_Forum_2016,200,2,1,1,1,false
?title=File:Ingredients_Platform.JPG&amp;oldid=19061,200,0,0,0,0,true
/Plain_Packaging_in_the_UK:_Tobacco_Industry_Funded_Third_Party_Campaigns,200,37,29,29,29,false
?title=E-Cigarettes:_Lorillard&amp;action=edit,200,7,5,0,0,false
